"id","workspace","organization","language","category","title","filename","url","source_page","license_note"
"panama-law-81","pulso-panama-governance","ANTAI","es","privacy-law","Ley 81 de 2019 sobre Protección de Datos Personales","panama-ley-81-2019-datos-personales.pdf","https://www.antai.gob.pa/wp-content/uploads/2019/09/Ley-81-de-2019-Proteccion-de-Datos-Personales.pdf","https://www.antai.gob.pa/ley-81-de-2019/","Official legal text; private reference; verify current consolidated law and redistribution terms"
"panama-decree-285","pulso-panama-governance","ANTAI","es","privacy-regulation","Decreto Ejecutivo 285 de 2021","panama-decreto-285-2021-datos-personales.pdf","https://www.antai.gob.pa/wp-content/uploads/2021/05/Reglamentacio%CC%81n-de-Ley-81-de-Proteccio%CC%81n-de-Datos-Personales.pdf","https://www.antai.gob.pa/","Official legal text; private reference; verify current consolidated law and redistribution terms"
"panama-medical-ethics","pulso-panama-governance","MINSA Panamá","es","medical-ethics","Código de Ética de los Profesionales de la Medicina","panama-codigo-etica-medicina.pdf","https://www.minsa.gob.pa/sites/default/files/normatividad/codigo_de_etica_version_3_actualizacion_2022-2023.pdf","https://www.minsa.gob.pa/normatividad","Official public document; private reference; verify current version and redistribution terms"
"minsa-history-adult","pulso-panama-clinical","MINSA Panamá","es","clinical-record","Historia Clínica de Salud de Adultos","minsa-historia-clinica-adultos.pdf","https://minsa.b-cdn.net/sites/default/files/programas/historia_clinica_de_salud_de_adultos_2017.pdf","https://www.minsa.gob.pa/programas-archivos/5865","Official public document; private RAG reference; verify current version before clinical use"
"minsa-adult-health-standards","pulso-panama-clinical","MINSA Panamá","es","clinical-guideline","Normas de Salud de Adultos","minsa-normas-salud-adultos.pdf","https://minsa.b-cdn.net/sites/default/files/programas/normas_de_salud_adultos_2018.pdf","https://www.minsa.gob.pa/programas-archivos/5865","Official public document; private RAG reference; verify current version before clinical use"
"minsa-hypertensive-crisis","pulso-panama-clinical","MINSA Panamá","es","clinical-protocol","Protocolo de Tratamiento de Crisis Hipertensiva","minsa-protocolo-crisis-hipertensiva.pdf","https://minsa.b-cdn.net/sites/default/files/programas/protocolo_de_tratamiento_de_crisis_hispertensiva_2021.pdf","https://www.minsa.gob.pa/programas-archivos/5865","Official public document; private RAG reference; verify current version before clinical use"
"minsa-influenza-severe","pulso-panama-clinical","MINSA Panamá","es","clinical-guideline","Guía General para Infecciones Respiratorias Agudas por Influenza","minsa-guia-influenza-iras.pdf","https://minsa.b-cdn.net/sites/default/files/programas/guia_general_para_la_atencion_de_las_infecciones_respiratorias_agudas_leves_y_graves_asociadas_al_virus_de_influenza_en_panama_2024.pdf","https://www.minsa.gob.pa/programas-archivos/5865","Official public document; private RAG reference; verify current version before clinical use"
"minsa-snakebite","pulso-panama-clinical","MINSA Panamá","es","clinical-protocol","Protocolo de Ofidismo de Panamá","minsa-protocolo-ofidismo.pdf","https://minsa.b-cdn.net/sites/default/files/programas/protocolo_de_ofidismo_de_panama.pdf","https://www.minsa.gob.pa/programas-archivos/5865","Official public document; private RAG reference; verify current version before clinical use"
"minsa-scorpionism","pulso-panama-clinical","MINSA Panamá","es","clinical-guideline","Guía Integrada de Escorpionismo","minsa-guia-escorpionismo.pdf","https://minsa.b-cdn.net/sites/default/files/programas/guia_integrada_escorpionismo_2016.pdf","https://www.minsa.gob.pa/programas-archivos/5865","Official public document; private RAG reference; verify current version before clinical use"
"minsa-dengue","pulso-panama-clinical","MINSA Panamá","es","clinical-guideline","Guías para el Abordaje Integral del Dengue","minsa-guia-dengue.pdf","https://minsa.b-cdn.net/sites/default/files/programas/guias_para_el_abordaje_integral_del_dengue_2014.pdf","https://www.minsa.gob.pa/programas-archivos/5865","Official public document; private RAG reference; verify current version before clinical use"
"fhir-medication-request","pulso-fhir-interop","HL7","en","interoperability","FHIR R4B MedicationRequest StructureDefinition","fhir-r4b-medicationrequest.json","https://hl7.org/fhir/R4B/medicationrequest.profile.json","https://hl7.org/fhir/R4B/medicationrequest.html","HL7 FHIR specification; consult the HL7/FHIR licence before redistribution"
"fhir-medication-administration","pulso-fhir-interop","HL7","en","interoperability","FHIR R4B MedicationAdministration StructureDefinition","fhir-r4b-medicationadministration.json","https://hl7.org/fhir/R4B/medicationadministration.profile.json","https://hl7.org/fhir/R4B/medicationadministration.html","HL7 FHIR specification; consult the HL7/FHIR licence before redistribution"
"fhir-service-request","pulso-fhir-interop","HL7","en","interoperability","FHIR R4B ServiceRequest StructureDefinition","fhir-r4b-servicerequest.json","https://hl7.org/fhir/R4B/servicerequest.profile.json","https://hl7.org/fhir/R4B/servicerequest.html","HL7 FHIR specification; consult the HL7/FHIR licence before redistribution"
"fhir-task","pulso-fhir-interop","HL7","en","interoperability","FHIR R4B Task StructureDefinition","fhir-r4b-task.json","https://hl7.org/fhir/R4B/task.profile.json","https://hl7.org/fhir/R4B/task.html","HL7 FHIR specification; consult the HL7/FHIR licence before redistribution"
"fhir-observation","pulso-fhir-interop","HL7","en","interoperability","FHIR R4B Observation StructureDefinition","fhir-r4b-observation.json","https://hl7.org/fhir/R4B/observation.profile.json","https://hl7.org/fhir/R4B/observation.html","HL7 FHIR specification; consult the HL7/FHIR licence before redistribution"
"fhir-provenance","pulso-fhir-interop","HL7","en","interoperability","FHIR R4B Provenance StructureDefinition","fhir-r4b-provenance.json","https://hl7.org/fhir/R4B/provenance.profile.json","https://hl7.org/fhir/R4B/provenance.html","HL7 FHIR specification; consult the HL7/FHIR licence before redistribution"
"fhir-audit-event","pulso-fhir-interop","HL7","en","interoperability","FHIR R4B AuditEvent StructureDefinition","fhir-r4b-auditevent.json","https://hl7.org/fhir/R4B/auditevent.profile.json","https://hl7.org/fhir/R4B/auditevent.html","HL7 FHIR specification; consult the HL7/FHIR licence before redistribution"
"who-prehospital-emergency-care-2025","pulso-emergency-ops","WHO","en","emergency-protocols","Prehospital emergency care: operational guidance for ambulance systems (2025)","who-prehospital-emergency-care-2025.pdf","https://iris.who.int/server/api/core/bitstreams/e9605b7a-bea0-4b14-9a98-984d366af788/content","https://www.who.int/publications/i/item/9789240114067","WHO publication; local research copy; verify item-specific licence before redistribution"
"who-dataset-emergency-care-2026","pulso-emergency-ops","WHO","en","emergency-dataset","WHO Data Set for Emergency Care (2026)","who-dataset-emergency-care-2026.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/dataset-for-emergency-care.pdf?sfvrsn=3d5b51d3_3&download=true","https://www.who.int/publications/m/item/who-dataset-for-emergency-care","WHO publication; local research copy; verify item-specific licence before redistribution"
"who-essential-medicines-adult-2025","pulso-medication-safety","WHO","en","medication-reference","WHO Model List of Essential Medicines, 24th list (2025)","who-essential-medicines-adult-2025.pdf","https://iris.who.int/server/api/core/bitstreams/17642505-ecd3-4940-a691-4f1dfa0d835a/content","https://www.who.int/publications/i/item/B09474","WHO publication; local research copy; verify item-specific licence before redistribution"
"who-essential-medicines-children-2025","pulso-medication-safety","WHO","en","medication-reference","WHO Model List of Essential Medicines for Children, 10th list (2025)","who-essential-medicines-children-2025.pdf","https://iris.who.int/server/api/core/bitstreams/337edac2-d0aa-4e19-9d72-3acb11d09808/content","https://www.who.int/publications/i/item/B09475","WHO publication; local research copy; verify item-specific licence before redistribution"
"who-aware-antibiotics-2025","pulso-medication-safety","WHO","en","antibiotic-stewardship","WHO AWaRe classification of antibiotics (2025)","who-aware-antibiotics-2025.xlsx","https://iris.who.int/server/api/core/bitstreams/a8c53afc-fa43-4883-9a59-21a9e069f40c/content","https://www.who.int/publications/i/item/B09489","WHO publication; local research copy; verify item-specific licence before redistribution"
"who-medication-safety-high-risk-2019","pulso-medication-safety","WHO","en","medication-safety","Medication safety in high-risk situations","who-medication-safety-high-risk-2019.pdf","https://iris.who.int/server/api/core/bitstreams/020cac11-563b-42d1-b12d-ac4604369797/content","https://www.who.int/publications/i/item/WHO-UHC-SDS-2019.10","WHO publication; local research copy; verify item-specific licence before redistribution"
"who-medication-safety-transitions-2019","pulso-medication-safety","WHO","en","medication-safety","Medication safety in transitions of care","who-medication-safety-transitions-2019.pdf","https://iris.who.int/server/api/core/bitstreams/ea908758-6760-4309-b884-bb55215c71da/content","https://www.who.int/publications-detail-redirect/WHO-UHC-SDS-2019.9","WHO publication; local research copy; verify item-specific licence before redistribution"
"who-medication-without-harm-2024","pulso-medication-safety","WHO","en","medication-safety","Medication Without Harm: policy brief","who-medication-without-harm-2024.pdf","https://iris.who.int/server/api/core/bitstreams/1eacccb6-838e-4787-bfd9-4bdeb4debfcf/content","https://www.who.int/publications/i/item/9789240062764","WHO publication; local research copy; verify item-specific licence before redistribution"
